iter	Passed	Remaining
157	500224	1874257
158	503047	1869818
159	506126	1866340
160	509331	1863331
161	512316	1859518
162	515512	1856478
163	518444	1852492
164	521485	1848903
165	524532	1845341
166	527421	1841239
167	530331	1837221
168	533428	1833858
169	536673	1831002
170	539882	1828024
171	543143	1825214
172	546013	1821095
173	549074	1817624
174	552379	1814961
175	555303	1811047
176	558598	1808344
177	561735	1805126
178	564832	1801784
179	567957	1798531
180	570580	1793702
181	573808	1790787
182	576946	1787588
183	579964	1784022
184	583340	1781553
185	586109	1777234
186	589178	1773837
187	592606	1771516
188	595976	1769009
189	598988	1765438
190	601750	1761144
191	605254	1759021
192	608124	1755054
193	611223	1751754
194	614447	1748812
195	617347	1744950
196	620403	1741539
197	623602	1738527
198	626718	1735284
199	629814	1731989
200	633018	1728990
201	635857	1724998
202	638659	1720918
203	642088	1718531
204	644810	1714252
205	648259	1711908
206	651231	1708303
207	654368	1705133
208	657374	1701625
209	660390	1698146
210	662983	1693593
211	666375	1691083
212	669696	1688388
213	672413	1684177
214	675587	1681113
215	678233	1676742
216	681490	1673891
217	684053	1669340
218	687107	1666000
219	690033	1662354
220	693530	1660078
221	696375	1656243
222	699340	1652701
223	702507	1649639
224	705581	1646355
225	708879	1643596
226	711973	1640362
227	715549	1638230
228	718940	1635669
229	722841	1634250
230	726114	1631399
231	729879	1629644
232	732978	1626394
233	736956	1625084
234	741112	1624139
235	744709	1621952
236	747946	1618973
237	751368	1616389
238	754673	1613548
239	757616	1609934
240	760490	1606181
241	763444	1602602
242	766443	1599123
243	769963	1596727
244	772564	1592428
245	775893	1589636
246	779244	1586883
247	782264	1583455
248	785310	1580082
249	788023	1576046
250	791441	1573423
251	794090	1569273
252	796898	1565448
253	800400	1562987
254	803191	1559136
255	806137	1555593
256	809041	1551975
257	812191	1548831
258	815580	1546139
259	818255	1542097
260	821367	1538884
261	824495	1535700
262	827848	1532936
263	830925	1529658
264	833890	1526176
265	836655	1522336
266	839765	1519126
267	842991	1516127
268	846021	1512774
269	849059	1509439
270	852073	1506062
271	855092	1502698
272	858392	1499828
273	861595	1496786
274	864606	1493411
275	867286	1489469
276	870408	1486293
277	873260	1482657
278	876431	1479567
279	879353	1476057
280	882546	1473005
281	885891	1470203
282	888456	1466109
283	892150	1463880
284	895292	1460740
285	898309	1457397
286	901408	1454188
287	904036	1450225
288	906959	1446741
289	909884	1443264
290	913110	1440267
291	916216	1437079
292	919099	1433544
293	922281	1430477
294	925267	1427107
295	928466	1424066
296	931951	1421461
297	935277	1418609
298	938116	1415017
299	941071	1411607
300	944485	1408883
301	947456	1405498
302	950767	1402617
303	953752	1399255
304	956303	1395262
305	959701	1392508
306	962793	1389308
307	965953	1386205
308	969244	1383291
309	972521	1380353
310	975993	1377688
311	978945	1374289
312	982076	1371141
313	984971	1367667
314	988615	1365230
315	991613	1361899
316	994439	1358335
317	997182	1354663
318	1000311	1351517
319	1003653	1348658
320	1006562	1345219
321	1009667	1342042
322	1012588	1338623
323	1015578	1335297
324	1018686	1332128
325	1022185	1329468
326	1025604	1326699
327	1028981	1323872
328	1032178	1320811
329	1035055	1317343
330	1037886	1313819
331	1040795	1310398
332	1043375	1306569
333	1046642	1303602
334	1050081	1300846
335	1052919	1297346
336	1055938	1294072
337	1059001	1290853
338	1061923	1287464
339	1064571	1283748
340	1067349	1280193
341	1070990	1277673
342	1074018	1274418
343	1077027	1271142
344	1079551	1267299
345	1082682	1264172
346	1085911	1261159
347	1088391	1257279
348	1091358	1253967
349	1094827	1251231
350	1098214	1248398
351	1101218	1245128
352	1104257	1241898
353	1106857	1238179
354	1109667	1234700
355	1112737	1231512
356	1115764	1228278
357	1119191	1225483
358	1122130	1222153
359	1125367	1219148
360	1128187	1215692
361	1130959	1212188
362	1134431	1209435
363	1137210	1205942
364	1140236	1202714
365	1143302	1199530
366	1146133	1196101
367	1149203	1192922
368	1152374	1189849
369	1155272	1186495
370	1157990	1182960
371	1161369	1180100
372	1164604	1177093
373	1167388	1173631
374	1170292	1170292
375	1173216	1166975
376	1176584	1164101
377	1179292	1160573
378	1182532	1157571
379	1185576	1154377
380	1188340	1150912
381	1192002	1148316
382	1194611	1144706
383	1197594	1141457
384	1200898	1138514
385	1204331	1135691
386	1207124	1132264
387	1210199	1129103
388	1213214	1125887
389	1216000	1122461
390	1219345	1119552
391	1222570	1116531
392	1225410	1113158
393	1228801	1110287
394	1231935	1107182
395	1235261	1104248
396	1237957	1100753
397	1240941	1097516
398	1243974	1094323
399	1246787	1090939
400	1250029	1087930
401	1253352	1084991
402	1256429	1081838
403	1259632	1078794
404	1262736	1075664
405	1265918	1072600
406	1268573	1069092
407	1271671	1065959
408	1275047	1063059
409	1278653	1060346
410	1281937	1057364
411	1284941	1054151
412	1287950	1050942
413	1291056	1047814
414	1294286	1044785
415	1297752	1041945
416	1300919	1038863
417	1303796	1035551
418	1306584	1032170
419	1310397	1029597
420	1313486	1026453
421	1316604	1023332
422	1319825	1020290
423	1322876	1017117
424	1326209	1014160
425	1328889	1010704
426	1331833	1007452
427	1335332	1004619
428	1338378	1001443
429	1341443	998283
430	1344164	994868
431	1347358	991805
432	1350549	988739
433	1353668	985620
434	1356784	982499
435	1359745	979266
436	1362384	975804
437	1365559	972727
438	1368856	969736
439	1371841	966524
440	1374821	963310
441	1377968	960213
442	1380675	956810
443	1384169	953954
444	1387048	950673
445	1390429	947736
446	1393068	944294
447	1396443	941352
448	1399667	938307
449	1402420	934946
450	1406069	932183
451	1408725	928761
452	1411878	925668
453	1414987	922546
454	1418642	919779
455	1422392	917068
456	1425851	914167
457	1429605	911451
458	1433161	908605
459	1436630	905702
460	1440684	903162
461	1443842	900057
462	1447074	896998
463	1450238	893897
464	1453076	890595
465	1456336	887552
466	1459426	884406
467	1462980	881539
468	1465891	878284
469	1468771	875012
470	1471110	871422
471	1473598	867924
472	1476117	864449
3
