iter	Accuracy	MultiClass
87	0.885634119	1.415977144
88	0.8864057239	1.40541826
89	0.8866161616	1.398553619
90	0.8868546577	1.391822652
91	0.8873176207	1.381960216
92	0.8875982043	1.370907501
93	0.8879349046	1.35979798
94	0.8884118967	1.347579766
95	0.8887766554	1.341597765
96	0.8891133558	1.336213076
97	0.8894079686	1.327113505
98	0.8897306397	1.317735061
99	0.8896324355	1.309683249
100	0.8901795735	1.303666038
101	0.8905162738	1.297682766
102	0.890684624	1.285992376
103	0.8909371493	1.272666766
104	0.8913439955	1.263438189
105	0.8916526375	1.258557157
106	0.8919191919	1.24946544
107	0.8920875421	1.244680409
108	0.8921015713	1.236947371
109	0.8923540965	1.229738807
110	0.8923681257	1.222960465
111	0.8926346801	1.210219007
112	0.8927890011	1.204406782
113	0.893167789	1.195371276
114	0.8935325477	1.188316117
115	0.8936588103	1.184202981
116	0.8938131313	1.178975922
117	0.8940375982	1.172280865
118	0.8943181818	1.164786414
119	0.8946969697	1.157912993
120	0.8950056117	1.148718223
121	0.8950056117	1.144153836
122	0.8951038159	1.138727407
123	0.8952861953	1.135237196
124	0.8956369248	1.130005773
125	0.8958473625	1.123032785
126	0.8958894501	1.117469178
127	0.8959455668	1.113174695
128	0.8961700337	1.108014416
129	0.896198092	1.098076365
130	0.8963664422	1.091828399
131	0.8965628507	1.085035213
132	0.8964646465	1.075209693
133	0.8966049383	1.066137655
134	0.8967312009	1.058940093
135	0.8966470258	1.054781127
136	0.8967873176	1.049560572
137	0.8970258137	1.044238265
138	0.8970398429	1.038718445
139	0.8971380471	1.034314173
140	0.8973344557	1.027718138
141	0.8973765432	1.022741893
142	0.8973905724	1.018601393
143	0.8974326599	1.01221894
144	0.8975589226	1.008675385
145	0.8976851852	1.003610865
146	0.8977413019	0.997487287
147	0.8978114478	0.9928751965
148	0.8977413019	0.9872535049
149	0.897516835	0.981386056
150	0.8975308642	0.9770100936
151	0.897362514	0.9715633955
152	0.8974607183	0.9666743098
153	0.8977132435	0.9633742427
154	0.8979236813	0.9596277681
155	0.8979236813	0.9535564824
156	0.8981902357	0.9505141108
157	0.8984147026	0.9470064486
158	0.8984988777	0.9414877955
159	0.8986391695	0.9365128694
160	0.8988776655	0.9309564174
161	0.8990740741	0.9270552158
162	0.8993546577	0.921699459
163	0.8995230079	0.9181216228
164	0.8995650954	0.9132669742
165	0.8995089787	0.9083216616
166	0.8995230079	0.9051612766
167	0.8995510662	0.9025359121
168	0.8996773288	0.8976392798
169	0.8995510662	0.8930907334
170	0.8994809203	0.8876460289
171	0.8995791246	0.8837981331
172	0.8997053872	0.8810149093
173	0.8997895623	0.8778966811
174	0.8999438833	0.8739672995
175	0.8999298541	0.8706587894
176	0.8999017957	0.867567272
177	0.8998737374	0.864831877
178	0.899845679	0.8570767162
179	0.8999579125	0.850541016
180	0.9002244669	0.8443610371
181	0.9002946128	0.8418507186
182	0.9003647587	0.8401858741
183	0.9005331089	0.8368664649
184	0.9007154882	0.8302368645
185	0.9007856341	0.8259380999
186	0.9007575758	0.8205536795
187	0.9008136925	0.8175297021
188	0.9009118967	0.8154191109
189	0.9009960718	0.8122102746
190	0.9010241302	0.8099040324
191	0.9010662177	0.8080825716
192	0.9010521886	0.8046021748
193	0.9009399551	0.8019911039
194	0.9010241302	0.7991914083
195	0.9011784512	0.7944179203
196	0.9012766554	0.7920245873
197	0.9013047138	0.7886134455
198	0.9013608305	0.7857389903
199	0.9015151515	0.7824894099
200	0.9015572391	0.7802827878
201	0.9016133558	0.7781983628
202	0.9016975309	0.7767468466
203	0.9017676768	0.7733256473
204	0.9017817059	0.7701703888
205	0.9017396184	0.767930965
206	0.9018097643	0.7661261411
207	0.902020202	0.763798454
208	0.902020202	0.7606837293
209	0.9022727273	0.7553245597
210	0.902328844	0.753306323
211	0.9024410774	0.7485006307
212	0.9024551066	0.7455420196
213	0.9025252525	0.7431629444
214	0.9024971942	0.7396862028
215	0.9026936027	0.7380226547
216	0.9028198653	0.7358802067
217	0.9028900112	0.731751052
218	0.9028479237	0.7283063924
219	0.902875982	0.7247082682
220	0.9028479237	0.7220417985
221	0.902875982	0.7201859254
222	0.9030162738	0.7161886395
223	0.9029601571	0.713479729
224	0.9029320988	0.7107034429
225	0.9029601571	0.7088200305
226	0.9028900112	0.7060891538
227	0.9029461279	0.7037557334
228	0.9030022447	0.7016327152
229	0.903030303	0.6990204884
230	0.9029741863	0.6975137916
231	0.9030162738	0.6955623593
232	0.9030583614	0.691919644
233	0.9030443322	0.6899426832
234	0.9032547699	0.6877798255
235	0.9032267116	0.6856349281
236	0.9032547699	0.6829280043
237	0.9030022447	0.6795410441
238	0.9030583614	0.6767886821
239	0.903184624	0.6741972049
240	0.9034652076	0.671287677
241	0.9036335578	0.6683943154
242	0.9037317621	0.6656955619
243	0.9037878788	0.664639461
244	0.9038720539	0.6629558808
245	0.9038580247	0.6612132053
246	0.9038720539	0.6593028532
247	0.9040684624	0.6575412496
248	0.9040824916	0.6564149774
249	0.9040824916	0.6548911511
250	0.9039702581	0.6522610216
251	0.9039421998	0.6506385474
252	0.9041386083	0.6491396538
253	0.9041245791	0.64610682
254	0.9041806958	0.644781923
255	0.9042789001	0.6423047816
256	0.9043771044	0.6391707064
257	0.9044893378	0.6369460796
258	0.9044893378	0.6353223589
259	0.9046296296	0.6332776658
260	0.9047278339	0.6300850783
261	0.9047278339	0.6285832211
262	0.9047418631	0.6269519944
263	0.9048400673	0.6245192676
264	0.9048961841	0.6223674133
265	0.9048681257	0.6201379183
266	0.9049523008	0.6192582858
267	0.9048961841	0.6162278564
268	0.9049382716	0.614444359
269	0.9050224467	0.6122612351
270	0.9050925926	0.6101640029
271	0.9051627385	0.608407027
272	0.905120651	0.6053800169
273	0.9052188552	0.6030990289
274	0.9052188552	0.6009842843
275	0.9052749719	0.5991315833
276	0.9052749719	0.5975109497
277	0.9053170595	0.59647042
278	0.9054152637	0.5950610724
279	0.9054854097	0.5939948405
280	0.9054994388	0.5909040355
281	0.9054854097	0.5893081633
282	0.9054994388	0.5876883115
283	0.9054854097	0.5854084327
284	0.905513468	0.5835400827
285	0.9056257015	0.5824269456
286	0.9056257015	0.5815063548
287	0.9056257015	0.5803151166
288	0.9056397306	0.5792275463
289	0.9056397306	0.5777861764
290	0.9056116723	0.5752488451
291	0.9057098765	0.5726217908
292	0.9057940516	0.5704040786
293	0.9058782267	0.5687068808
294	0.9057940516	0.5670851199
295	0.90582211	0.5657698462
296	0.9058361392	0.5642561491
297	0.9059624018	0.5628574777
298	0.9059343434	0.5619349752
299	0.9058361392	0.5601179606
300	0.9058782267	0.5587543201
301	0.9059904602	0.5569192828
302	0.906130752	0.5551297589
303	0.9061026936	0.55310602
304	0.9061447811	0.5516607128
305	0.9062289562	0.5506016572
306	0.9061728395	0.5481829738
307	0.9062008979	0.5467832752
308	0.9061868687	0.5452645315
309	0.9061026936	0.5430016017
310	0.9060185185	0.5414191665
311	0.9061728395	0.5399216996
312	0.9061588103	0.5383833618
313	0.9061728395	0.5362885663
314	0.9062710438	0.5352456039
315	0.9064674523	0.5331550189
316	0.9063973064	0.5322831491
317	0.9064534231	0.5313555435
318	0.9063411897	0.5300865533
319	0.9064113356	0.5285738604
320	0.9063131313	0.5265315828
321	0.9064393939	0.5251626742
322	0.9064113356	0.5238599581
323	0.9063271605	0.5226664813
324	0.9062991021	0.5210136858
325	0.9064955107	0.5198603968
326	0.9064674523	0.5191957031
327	0.9065796857	0.5181496655
328	0.906523569	0.5157661535
329	0.906523569	0.5143511812
330	0.9065095398	0.513675751
331	0.9065516274	0.512362495
332	0.9066077441	0.5113601114
333	0.9066638608	0.5089257372
334	0.9066919192	0.5073701923
335	0.9066358025	0.5066982222
336	0.9067059484	0.5059398899
337	0.90667789	0.5043863799
338	0.9067199776	0.5034186462
339	0.906832211	0.5017797931
340	0.9067620651	0.5007125222
341	0.9068883277	0.4996548897
342	0.9068462402	0.4982345836
343	0.9069023569	0.4968838737
344	0.9069023569	0.4958277698
345	0.9069584736	0.495030891
346	0.9070566779	0.4932627844
347	0.9069163861	0.4919098643
348	0.9070566779	0.4908612094
349	0.9071127946	0.4896231633
350	0.9071548822	0.4882225321
351	0.9071689113	0.4867556481
352	0.9071127946	0.4853910497
353	0.9071548822	0.4835360733
354	0.9072390572	0.4823048385
355	0.9071829405	0.4813668034
356	0.9071969697	0.4807847573
357	0.9072530864	0.4800158453
358	0.907295174	0.4792739969
359	0.9073092031	0.4771035666
360	0.907295174	0.4758662392
361	0.9074214366	0.4750905407
362	0.9075056117	0.4742610762
363	0.9074494949	0.4732785006
364	0.90753367	0.472195336
365	0.90753367	0.470608127
366	0.9074494949	0.469697107
367	0.90753367	0.4685412623
368	0.9075196409	0.4678963572
369	0.9075617284	0.466878319
370	0.9077020202	0.4653706238
371	0.9076739618	0.4644211108
372	0.90753367	0.4625258394
373	0.90753367	0.4614875332
374	0.9075757576	0.4600912005
375	0.9076599327	0.4589754358
376	0.9076178451	0.4576913908
377	0.9076318743	0.4569219198
378	0.9076038159	0.4563876509
379	0.9076739618	0.4552566564
380	0.9077020202	0.4544406896
381	0.9077441077	0.4537568073
382	0.9077441077	0.4529350977
383	0.9078282828	0.4519075061
384	0.9078142536	0.4508689175
385	0.9078984287	0.4500293856
386	0.9078843996	0.449287248
387	0.9078282828	0.4485234289
388	0.9078843996	0.4471935122
389	0.9079685746	0.4460185435
390	0.9080387205	0.4452142914
391	0.9079685746	0.4438879482
392	0.9079826038	0.4433406917
393	0.9079405163	0.4419022638
394	0.9080246914	0.4405949314
395	0.9080387205	0.44005582
396	0.9080808081	0.4396081173
397	0.9081369248	0.4392116016
398	0.9080948373	0.4383849529
399	0.9080106622	0.4379420659
400	0.9081369248	0.4370016223
401	0.9080948373	0.436015818
402	0.9080667789	0.435631546
403	0.9081649832	0.434875406
404	0.9082351291	0.4341302805
405	0.9082772166	0.4330535796
406	0.9083473625	0.4321747023
407	0.9084175084	0.4313665937
408	0.9083894501	0.4309087416
409	0.9084034792	0.429450999
410	0.9084455668	0.4285345597
411	0.9085998878	0.4273328989
412	0.9086279461	0.4266730507
413	0.9086279461	0.4257405339
414	0.9085998878	0.42476935
415	0.9085998878	0.4240730965
416	0.9085998878	0.4234886344
417	0.9087542088	0.4226245559
418	0.9087962963	0.4221718041
419	0.9087401796	0.4213011116
420	0.9088945006	0.4204243129
421	0.9088664422	0.4191276818
422	0.908852413	0.4177169166
423	0.9088804714	0.4171180321
424	0.908852413	0.4163477178
425	0.9088945006	0.4155908138
426	0.9089085297	0.4149074365
427	0.908852413	0.4141009785
428	0.9088383838	0.413666145
429	0.9087962963	0.4127308951
430	0.9088664422	0.4123026758
431	0.9089646465	0.4116040316
432	0.9089506173	0.4107973649
433	0.9089225589	0.4101178616
434	0.909006734	0.4093801578
435	0.909006734	0.4089807675
436	0.9091189675	0.4084242514
437	0.9091750842	0.4079018977
438	0.9092312009	0.4073327486
439	0.9092592593	0.4069253701
440	0.9092452301	0.4062416302
441	0.9093574635	0.4054456306
442	0.9093574635	0.4047660316
443	0.909469697	0.4038363584
444	0.9094135802	0.4030984581
445	0.9094276094	0.4023277888
446	0.9093995511	0.4014217419
447	0.9093855219	0.4007271213
448	0.9093855219	0.4001264219
449	0.9094837262	0.3992947973
450	0.9094135802	0.3986189327
451	0.9095538721	0.3979939466
452	0.9095959596	0.3973604804
453	0.9095679012	0.3965474619
454	0.9095959596	0.3958825876
455	0.9096099888	0.3954385238
456	0.9095258137	0.3946877345
457	0.9094977553	0.3940999812
458	0.9094837262	0.3930626292
459	0.909624018	0.3924204302
460	0.9095959596	0.3919884643
461	0.9095819304	0.3911866541
462	0.9095959596	0.3905933555
463	0.9095538721	0.3898281136
464	0.9095679012	0.3891011442
465	0.9094977553	0.3885923676
466	0.9095819304	0.3879541207
467	0.9095258137	0.3875564099
468	0.9096801347	0.387171234
469	0.9096661055	0.3866144205
470	0.9097502806	0.3862304298
471	0.9097783389	0.3854861713
472	0.9098484848	0.3850568128
